index,breed_primary,size
918,Catahoula Leopard Dog,Small
919,Chow Chow,Small
920,Labrador Retriever,Small
921,Terrier,Small
922,Labrador Retriever,Small
923,Siberian Husky,Small
924,Airedale Terrier,Small
925,Schipperke,Small
926,Pit Bull Terrier,Small
927,Shepherd,Small
928,Shepherd,Small
929,Retriever,Small
930,Hound,Small
931,Pit Bull Terrier,Small
932,German Shepherd Dog,Small
933,Cattle Dog,Small
934,Alaskan Malamute,Small
935,Pit Bull Terrier,Small
936,Shar-Pei,Small
937,Siberian Husky,Small
938,Pit Bull Terrier,Small
939,Cattle Dog,Small
940,Siberian Husky,Small
941,Labrador Retriever,Small
942,Shepherd,Small
943,Labrador Retriever,Small
944,Labrador Retriever,Small
945,Pit Bull Terrier,Small
946,Labrador Retriever,Small
947,Labrador Retriever,Small
948,Great Dane,Small
949,Shetland Sheepdog / Sheltie,Small
950,Chihuahua,Small
951,Cattle Dog,Small
952,Hound,Small
953,Mastiff,Small
954,Siberian Husky,Small
955,Black Labrador Retriever,Small
956,Labrador Retriever,Small
957,Pit Bull Terrier,Small
958,Cattle Dog,Small
959,Pit Bull Terrier,Small
960,Shepherd,Small
961,Labrador Retriever,Small
962,Pit Bull Terrier,Small
963,Cattle Dog,Small
964,Pit Bull Terrier,Small
965,Shepherd,Small
966,Retriever,Small
967,Labrador Retriever,Small
968,Cattle Dog,Small
969,Bull Terrier,Small
970,Boxer,Small
971,Great Dane,Small
972,Weimaraner,Small
973,Boxer,Small
974,Shepherd,Small
975,American Bulldog,Small
976,Labrador Retriever,Small
977,Pit Bull Terrier,Small
978,Pit Bull Terrier,Small
979,Labrador Retriever,Small
980,Cattle Dog,Small
981,Pointer,Small
982,Terrier,Small
983,Pit Bull Terrier,Small
984,Boxer,Small
985,American Bulldog,Small
986,Dogo Argentino,Small
987,Labrador Retriever,Small
988,Labrador Retriever,Small
989,Shepherd,Small
990,Cattle Dog,Small
991,Greyhound,Small
992,Chihuahua,Small
993,Great Dane,Small
994,Pointer,Small
995,Cattle Dog,Small
996,Cattle Dog,Small
997,Cattle Dog,Small
998,Pit Bull Terrier,Small
999,Labrador Retriever,Small
1000,Cattle Dog,Small
1001,Labrador Retriever,Small
1002,Labrador Retriever,Small
1003,Cattle Dog,Small
1004,Pit Bull Terrier,Small
1005,Mastiff,Small
1006,Rhodesian Ridgeback,Small
1007,Labrador Retriever,Small
1008,Pit Bull Terrier,Small
1009,Pit Bull Terrier,Small
1010,Cattle Dog,Small
1011,Bull Terrier,Small
1012,Border Collie,Small
1013,Pit Bull Terrier,Small
1014,Labrador Retriever,Small
1015,Cattle Dog,Small
1016,Labrador Retriever,Small
1017,Chihuahua,Small
1018,Chihuahua,Small
1019,Miniature Pinscher,Small
1020,Labrador Retriever,Medium
1021,Pit Bull Terrier,Large
